Year,Units,display,title,Bundesland,GeoCode,Value
1991,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,3.18905284399042
1992,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,2.60501979953703
1993,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,3.09494028751092
1994,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,2.5238446612555
1995,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,2.94308591214023
1996,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,3.57040252318646
1997,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,2.94210029829437
1998,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,2.56689270360699
1999,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,1.71922038572844
2000,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,1.5471127358244552
2001,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,3.02544487098051
2002,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,3.87499317598675
2003,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,3.70420108791492
2004,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,3.33415837208069
2005,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,3.31943661479432
2006,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,1.65315209552719
2007,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,0.2608869596527375
2008,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,0.116356239372627
2009,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,3.15051129928488
2010,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,4.37864607705506
2011,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,0.881398595167733
2012,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,0.009324994262942983
2013,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,0.03998079214612198
2014,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,0.5795527134722266
2015,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,0.9432125330437909
2016,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,1.184135796560416
2017,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,1.241760375224577
2018,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),,,1.8665996884316032
2007,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),,,3.0
2008,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),,,3.0
2009,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),,,3.0
2010,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),,,3.0
2011,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),,,3.0
2012,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),,,3.0
2013,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),,,3.0
2014,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),,,3.0
2015,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),,,3.0
2016,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),,,3.0
2017,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),,,3.0
2018,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),,,3.0
2020,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),,,3.0
2025,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),,,3.0
2030,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),,,3.0
2005,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),,,2.01932803425677
2006,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),,,1.63164162536688
2007,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),,,0.728824840141461
2008,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),,,0.691201824425051
2009,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),,,0.302530010119757
