Year,Units,display,title,Bundesland,GeoCode,Value
2005,number,a) time series,employees in thousands,a) germany (total),,961.255
2006,number,a) time series,employees in thousands,a) germany (total),,926.296
2007,number,a) time series,employees in thousands,a) germany (total),,860.491
2008,number,a) time series,employees in thousands,a) germany (total),,840.006
2009,number,a) time series,employees in thousands,a) germany (total),,802.825
2010,number,a) time series,employees in thousands,a) germany (total),,780.757
2011,number,a) time series,employees in thousands,a) germany (total),,764.736
2012,number,a) time series,employees in thousands,a) germany (total),,772.774
2013,number,a) time series,employees in thousands,a) germany (total),,787.525
2014,number,a) time series,employees in thousands,a) germany (total),,785.432
2015,number,a) time series,employees in thousands,a) germany (total),,800.635
2016,number,a) time series,employees in thousands,a) germany (total),,842.301
2017,number,a) time series,employees in thousands,a) germany (total),,985.195
2018,number,a) time series,employees in thousands,a) germany (total),,929.241
2019,number,a) time series,employees in thousands,a) germany (total),,988.401
2005,number,a) time series,emas organisational locations,a) germany (total),,1958.000
2006,number,a) time series,emas organisational locations,a) germany (total),,1985.000
2007,number,a) time series,emas organisational locations,a) germany (total),,1956.000
2008,number,a) time series,emas organisational locations,a) germany (total),,1917.000
2009,number,a) time series,emas organisational locations,a) germany (total),,1906.000
2010,number,a) time series,emas organisational locations,a) germany (total),,1913.000
2011,number,a) time series,emas organisational locations,a) germany (total),,1909.000
2012,number,a) time series,emas organisational locations,a) germany (total),,1828.000
2013,number,a) time series,emas organisational locations,a) germany (total),,1862.000
2014,number,a) time series,emas organisational locations,a) germany (total),,1906.000
2015,number,a) time series,emas organisational locations,a) germany (total),,2004.000
2016,number,a) time series,emas organisational locations,a) germany (total),,2073.000
2017,number,a) time series,emas organisational locations,a) germany (total),,2182.000
2018,number,a) time series,emas organisational locations,a) germany (total),,2167.000
2019,number,a) time series,emas organisational locations,a) germany (total),,2176.000
2030,number,b) target (min),emas organisational locations,a) germany (total),,5000.000
2010,number,a) time series,emas organisational locations,bw,Baden-Württemberg,493.000
2011,number,a) time series,emas organisational locations,bw,Baden-Württemberg,498.000
2012,number,a) time series,emas organisational locations,bw,Baden-Württemberg,508.000
