Year,Units,display,title,sex,Bundesland,GeoCode,Value
1999,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,a) germany (total),,33.4
2000,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,a) germany (total),,33.0
2001,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,a) germany (total),,33.2
2002,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,a) germany (total),,33.3
2003,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,a) germany (total),,33.9
2004,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,a) germany (total),,36.2
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,a) germany (total),,36.0
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,a) germany (total),,36.5
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,a) germany (total),,37.6
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,a) germany (total),,38.8
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,a) germany (total),,40.7
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,a) germany (total),,41.3
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,a) germany (total),,42.2
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,a) germany (total),,43.4
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,a) germany (total),,44.5
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,a) germany (total),,45.7
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,a) germany (total),,46.8
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,a) germany (total),,47.9
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,a) germany (total),,48.8
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,a) germany (total),,49.8
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,a) germany (total),,50.5
2030,percentage (%),b) target (min),tertiary or post-secondary non-tertiary education,male and female,a) germany (total),,55.0
1999,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,a) germany (total),,31.4
2000,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,a) germany (total),,30.9
2001,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,a) germany (total),,31.1
2002,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,a) germany (total),,31.3
2003,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,a) germany (total),,32.2
2004,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,a) germany (total),,34.7
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,a) germany (total),,35.0
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,a) germany (total),,36.5
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,a) germany (total),,38.0
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,a) germany (total),,39.7
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,a) germany (total),,42.2
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,a) germany (total),,42.7
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,a) germany (total),,44.4
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,a) germany (total),,46.0
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,a) germany (total),,46.8
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,a) germany (total),,48.4
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,a) germany (total),,50.5
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,a) germany (total),,51.3
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,a) germany (total),,52.6
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,a) germany (total),,53.8
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,a) germany (total),,54.4
1999,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,a) germany (total),,35.2
2000,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,a) germany (total),,35.0
2001,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,a) germany (total),,35.2
2002,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,a) germany (total),,35.2
2003,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,a) germany (total),,35.5
2004,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,a) germany (total),,37.7
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,a) germany (total),,37.0
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,a) germany (total),,36.5
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,a) germany (total),,37.3
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,a) germany (total),,37.9
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,a) germany (total),,39.2
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,a) germany (total),,40.0
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,a) germany (total),,40.1
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,a) germany (total),,40.9
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,a) germany (total),,42.2
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,a) germany (total),,42.9
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,a) germany (total),,43.1
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,a) germany (total),,44.6
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,a) germany (total),,45.2
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,a) germany (total),,46.0
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,a) germany (total),,46.8
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bw,code080000000000,36.9
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bw,code080000000000,36.9
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bw,code080000000000,37.6
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bw,code080000000000,37.8
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bw,code080000000000,41.9
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bw,code080000000000,42.3
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bw,code080000000000,43.4
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bw,code080000000000,44.9
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bw,code080000000000,47.3
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bw,code080000000000,47.3
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bw,code080000000000,48.4
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bw,code080000000000,50.2
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bw,code080000000000,50.7
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bw,code080000000000,51.4
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bw,code080000000000,53.9
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bw,code080000000000,33.1
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bw,code080000000000,34.2
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bw,code080000000000,35.7
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bw,code080000000000,36.0
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bw,code080000000000,41.0
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bw,code080000000000,40.7
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bw,code080000000000,41.9
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,bw,code080000000000,44.4
