Year,Units,display,Bundesland,GeoCode,Value
1990,1990 = 100,a) time series,a) germany (total),,100.0
1991,1990 = 100,a) time series,a) germany (total),,96.23753839768744
1992,1990 = 100,a) time series,a) germany (total),,92.23048090583937
1993,1990 = 100,a) time series,a) germany (total),,91.51586871413772
1994,1990 = 100,a) time series,a) germany (total),,89.99535140435911
1995,1990 = 100,a) time series,a) germany (total),,89.7714805162578
1996,1990 = 100,a) time series,a) germany (total),,91.21434916267238
1997,1990 = 100,a) time series,a) germany (total),,88.40983666750436
1998,1990 = 100,a) time series,a) germany (total),,86.38970487795675
1999,1990 = 100,a) time series,a) germany (total),,83.69621888556112
2000,1990 = 100,a) time series,a) germany (total),,83.54864984656191
2001,1990 = 100,a) time series,a) germany (total),,84.75440049772747
2002,1990 = 100,a) time series,a) germany (total),,83.0476314789703
2003,1990 = 100,a) time series,a) germany (total),,82.78019986916816
2004,1990 = 100,a) time series,a) germany (total),,81.46518959506359
2005,1990 = 100,a) time series,a) germany (total),,79.40444012526643
2006,1990 = 100,a) time series,a) germany (total),,79.98751184718851
2007,1990 = 100,a) time series,a) germany (total),,77.85351386812185
2008,1990 = 100,a) time series,a) germany (total),,77.98974146832172
2009,1990 = 100,a) time series,a) germany (total),,72.58668172137914
2010,1990 = 100,a) time series,a) germany (total),,75.34352163241707
2011,1990 = 100,a) time series,a) germany (total),,73.5660503082126
2012,1990 = 100,a) time series,a) germany (total),,73.91022052909531
2013,1990 = 100,a) time series,a) germany (total),,75.32019336918833
2014,1990 = 100,a) time series,a) germany (total),,72.19838130619385
2015,1990 = 100,a) time series,a) germany (total),,72.51765325112133
2016,1990 = 100,a) time series,a) germany (total),,72.82609022611904
2017,1990 = 100,a) time series,a) germany (total),,72.47136850132648
2018,1990 = 100,a) time series,a) germany (total),,69.44085791672465
2020,1990 = 100,b) target (max),a) germany (total),,60.0
2030,1990 = 100,b) target (max),a) germany (total),,45.0
2040,1990 = 100,b) target (max),a) germany (total),,30.0
2050,1990 = 100,b) target (max),a) germany (total),,20.0
1990,1990 = 100,a) time series,bw,code08,100.0
1995,1990 = 100,a) time series,bw,code08,103.4571005252997
2000,1990 = 100,a) time series,bw,code08,97.11421900956314
2003,1990 = 100,a) time series,bw,code08,97.13891258474386
2004,1990 = 100,a) time series,bw,code08,95.7111749652045
2005,1990 = 100,a) time series,bw,code08,98.1390023795627
2006,1990 = 100,a) time series,bw,code08,99.00103264041665
2007,1990 = 100,a) time series,bw,code08,90.88694832308175
2008,1990 = 100,a) time series,bw,code08,92.77825169487721
2009,1990 = 100,a) time series,bw,code08,85.36232209401517
2010,1990 = 100,a) time series,bw,code08,87.29964531046559
2011,1990 = 100,a) time series,bw,code08,85.63282898576752
2012,1990 = 100,a) time series,bw,code08,84.64957571948099
2013,1990 = 100,a) time series,bw,code08,90.40879091276433
2014,1990 = 100,a) time series,bw,code08,84.65967763660036
2015,1990 = 100,a) time series,bw,code08,86.25914784716922
2016,1990 = 100,a) time series,bw,code08,88.46922282584295
1990,1990 = 100,a) time series,by,code09,100.0
1995,1990 = 100,a) time series,by,code09,101.12565788241464
2000,1990 = 100,a) time series,by,code09,98.39486055702272
2003,1990 = 100,a) time series,by,code09,92.89486992189696
2004,1990 = 100,a) time series,by,code09,91.30003184057239
2005,1990 = 100,a) time series,by,code09,88.43063437658033
2006,1990 = 100,a) time series,by,code09,89.17982431495945
2007,1990 = 100,a) time series,by,code09,82.44367028150812
2008,1990 = 100,a) time series,by,code09,86.970650484164
2009,1990 = 100,a) time series,by,code09,86.48086756194864
2010,1990 = 100,a) time series,by,code09,89.89436421868854
2011,1990 = 100,a) time series,by,code09,88.74529415069955
2012,1990 = 100,a) time series,by,code09,88.62823322282782
2013,1990 = 100,a) time series,by,code09,89.20604596280272
2014,1990 = 100,a) time series,by,code09,85.11453241182971
2015,1990 = 100,a) time series,by,code09,85.94706973085351
2016,1990 = 100,a) time series,by,code09,87.53347942537131
1990,1990 = 100,a) time series,be,code11,100.0
1995,1990 = 100,a) time series,be,code11,90.51337249607765
