Year,Units,title,Value
2009,mio. eur,redd+,3.00
2010,mio. eur,redd+,20.00
2011,mio. eur,redd+,12.00
2012,mio. eur,redd+,24.90
2013,mio. eur,redd+,36.30
2014,mio. eur,redd+,31.00
2015,mio. eur,redd+,15.70
2016,mio. eur,redd+,59.75
2017,mio. eur,redd+,67.95
2018,mio. eur,redd+,63.00
2019,mio. eur,redd+,63.50
2009,mio. eur,soil conservation,40.01
2010,mio. eur,soil conservation,152.50
2011,mio. eur,soil conservation,198.59
2012,mio. eur,soil conservation,245.26
2013,mio. eur,soil conservation,248.73
2014,mio. eur,soil conservation,239.73
2015,mio. eur,soil conservation,271.92
2016,mio. eur,soil conservation,347.38
2017,mio. eur,soil conservation,483.42
2018,mio. eur,soil conservation,571.84
2019,mio. eur,soil conservation,745.58
