Year,Units,display,title,Value
2017,in % der haushalte,a) time series,all line-based technologies,27.30
2018,in % der haushalte,a) time series,all line-based technologies,43.22
2019,in % der haushalte,a) time series,all line-based technologies,55.90
2025,in % der haushalte,b) target (min),all line-based technologies,100.00
2014,in % der haushalte,a) time series,pure fiber optic networks (fttb/h),6.70
2015,in % der haushalte,a) time series,pure fiber optic networks (fttb/h),7.10
2016,in % der haushalte,a) time series,pure fiber optic networks (fttb/h),8.00
2017,in % der haushalte,a) time series,pure fiber optic networks (fttb/h),9.00
2018,in % der haushalte,a) time series,pure fiber optic networks (fttb/h),11.82
2019,in % der haushalte,a) time series,pure fiber optic networks (fttb/h),13.80
2017,in % der haushalte,a) time series,cable television (catv),23.70
2018,in % der haushalte,a) time series,cable television (catv),37.83
2019,in % der haushalte,a) time series,cable television (catv),50.20
