Year,Units,display,Bundesland,GeoCode,Value
1995,percentage (%),a) time series,a) germany (total),,21.00
1996,percentage (%),a) time series,a) germany (total),,21.00
1997,percentage (%),a) time series,a) germany (total),,21.00
1998,percentage (%),a) time series,a) germany (total),,22.00
1999,percentage (%),a) time series,a) germany (total),,19.00
2000,percentage (%),a) time series,a) germany (total),,21.00
2001,percentage (%),a) time series,a) germany (total),,21.00
2002,percentage (%),a) time series,a) germany (total),,22.00
2003,percentage (%),a) time series,a) germany (total),,23.00
2004,percentage (%),a) time series,a) germany (total),,23.00
2005,percentage (%),a) time series,a) germany (total),,22.00
2006,percentage (%),a) time series,a) germany (total),,23.00
2007,percentage (%),a) time series,a) germany (total),,23.00
2008,percentage (%),a) time series,a) germany (total),,23.00
2009,percentage (%),a) time series,a) germany (total),,23.00
2010,percentage (%),a) time series,a) germany (total),,22.00
2011,percentage (%),a) time series,a) germany (total),,22.00
2012,percentage (%),a) time series,a) germany (total),,23.00
2013,percentage (%),a) time series,a) germany (total),,22.00
2014,percentage (%),a) time series,a) germany (total),,22.00
2015,percentage (%),a) time series,a) germany (total),,22.00
2016,percentage (%),a) time series,a) germany (total),,21.00
2017,percentage (%),a) time series,a) germany (total),,20.00
2018,percentage (%),a) time series,a) germany (total),,20.00
2019,percentage (%),a) time series,a) germany (total),,19.00
2020,percentage (%),b) target (max),a) germany (total),,10.00
2030,percentage (%),b) target (max),a) germany (total),,10.00
2006,percentage (%),a) time series,bw,'080000000000',28.00
2007,percentage (%),a) time series,bw,'080000000000',28.00
2008,percentage (%),a) time series,bw,'080000000000',28.00
2009,percentage (%),a) time series,bw,'080000000000',27.00
2010,percentage (%),a) time series,bw,'080000000000',27.00
2011,percentage (%),a) time series,bw,'080000000000',27.00
2012,percentage (%),a) time series,bw,'080000000000',27.00
2013,percentage (%),a) time series,bw,'080000000000',27.00
2014,percentage (%),a) time series,bw,'080000000000',27.00
2015,percentage (%),a) time series,bw,'080000000000',26.00
2016,percentage (%),a) time series,bw,'080000000000',26.00
2017,percentage (%),a) time series,bw,'080000000000',25.00
2018,percentage (%),a) time series,bw,'080000000000',24.00
2019,percentage (%),a) time series,bw,'080000000000',23.00
2006,percentage (%),a) time series,by,'090000000000',23.00
2007,percentage (%),a) time series,by,'090000000000',24.00
2008,percentage (%),a) time series,by,'090000000000',25.00
2009,percentage (%),a) time series,by,'090000000000',25.00
2010,percentage (%),a) time series,by,'090000000000',26.00
2011,percentage (%),a) time series,by,'090000000000',25.00
2012,percentage (%),a) time series,by,'090000000000',25.00
2013,percentage (%),a) time series,by,'090000000000',25.00
2014,percentage (%),a) time series,by,'090000000000',25.00
2015,percentage (%),a) time series,by,'090000000000',24.00
2016,percentage (%),a) time series,by,'090000000000',24.00
2017,percentage (%),a) time series,by,'090000000000',24.00
2018,percentage (%),a) time series,by,'090000000000',24.00
2019,percentage (%),a) time series,by,'090000000000',23.00
2006,percentage (%),a) time series,be,'110000000000',14.00
2007,percentage (%),a) time series,be,'110000000000',14.00
2008,percentage (%),a) time series,be,'110000000000',16.00
2009,percentage (%),a) time series,be,'110000000000',15.00
2010,percentage (%),a) time series,be,'110000000000',14.00
2011,percentage (%),a) time series,be,'110000000000',15.00
2012,percentage (%),a) time series,be,'110000000000',15.00
2013,percentage (%),a) time series,be,'110000000000',14.00
2014,percentage (%),a) time series,be,'110000000000',14.00
2015,percentage (%),a) time series,be,'110000000000',14.00
2016,percentage (%),a) time series,be,'110000000000',12.00
2017,percentage (%),a) time series,be,'110000000000',10.00
2018,percentage (%),a) time series,be,'110000000000',10.00
2019,percentage (%),a) time series,be,'110000000000',10.00
2006,percentage (%),a) time series,bb,'120000000000',6.00
2007,percentage (%),a) time series,bb,'120000000000',7.00
2008,percentage (%),a) time series,bb,'120000000000',7.00
2009,percentage (%),a) time series,bb,'120000000000',7.00
2010,percentage (%),a) time series,bb,'120000000000',7.00
2011,percentage (%),a) time series,bb,'120000000000',6.00
2012,percentage (%),a) time series,bb,'120000000000',7.00
2013,percentage (%),a) time series,bb,'120000000000',5.00
2014,percentage (%),a) time series,bb,'120000000000',7.00
2015,percentage (%),a) time series,bb,'120000000000',5.00
2016,percentage (%),a) time series,bb,'120000000000',6.00
2017,percentage (%),a) time series,bb,'120000000000',6.00
2018,percentage (%),a) time series,bb,'120000000000',6.00
2019,percentage (%),a) time series,bb,'120000000000',7.00
2006,percentage (%),a) time series,hb,'040000000000',25.00
2007,percentage (%),a) time series,hb,'040000000000',27.00
2008,percentage (%),a) time series,hb,'040000000000',27.00
2009,percentage (%),a) time series,hb,'040000000000',24.00
2010,percentage (%),a) time series,hb,'040000000000',24.00
2011,percentage (%),a) time series,hb,'040000000000',24.00
2012,percentage (%),a) time series,hb,'040000000000',27.00
2013,percentage (%),a) time series,hb,'040000000000',25.00
2014,percentage (%),a) time series,hb,'040000000000',25.00
2015,percentage (%),a) time series,hb,'040000000000',25.00
2016,percentage (%),a) time series,hb,'040000000000',24.00
2017,percentage (%),a) time series,hb,'040000000000',24.00
2018,percentage (%),a) time series,hb,'040000000000',23.00
2019,percentage (%),a) time series,hb,'040000000000',25.00
2006,percentage (%),a) time series,hh,'020000000000',20.00
2007,percentage (%),a) time series,hh,'020000000000',22.00
2008,percentage (%),a) time series,hh,'020000000000',22.00
2009,percentage (%),a) time series,hh,'020000000000',23.00
2010,percentage (%),a) time series,hh,'020000000000',23.00
2011,percentage (%),a) time series,hh,'020000000000',22.00
2012,percentage (%),a) time series,hh,'020000000000',24.00
2013,percentage (%),a) time series,hh,'020000000000',23.00
2014,percentage (%),a) time series,hh,'020000000000',22.00
2015,percentage (%),a) time series,hh,'020000000000',22.00
2016,percentage (%),a) time series,hh,'020000000000',21.00
2017,percentage (%),a) time series,hh,'020000000000',21.00
2018,percentage (%),a) time series,hh,'020000000000',21.00
2019,percentage (%),a) time series,hh,'020000000000',21.00
2006,percentage (%),a) time series,he,'060000000000',23.00
2007,percentage (%),a) time series,he,'060000000000',24.00
2008,percentage (%),a) time series,he,'060000000000',24.00
2009,percentage (%),a) time series,he,'060000000000',24.00
2010,percentage (%),a) time series,he,'060000000000',25.00
2011,percentage (%),a) time series,he,'060000000000',25.00
2012,percentage (%),a) time series,he,'060000000000',24.00
2013,percentage (%),a) time series,he,'060000000000',23.00
2014,percentage (%),a) time series,he,'060000000000',24.00
2015,percentage (%),a) time series,he,'060000000000',23.00
2016,percentage (%),a) time series,he,'060000000000',22.00
2017,percentage (%),a) time series,he,'060000000000',22.00
2018,percentage (%),a) time series,he,'060000000000',21.00
