Year,Units,display,Bundesland,GeoCode,Value
1991,percentage (%),a) time series,germany (total),,2.4
1992,percentage (%),a) time series,germany (total),,2.28
1993,percentage (%),a) time series,germany (total),,2.21
1994,percentage (%),a) time series,germany (total),,2.13
1995,percentage (%),a) time series,germany (total),,2.13
1996,percentage (%),a) time series,germany (total),,2.14
1997,percentage (%),a) time series,germany (total),,2.18
1998,percentage (%),a) time series,germany (total),,2.22
1999,percentage (%),a) time series,germany (total),,2.35
2000,percentage (%),a) time series,germany (total),,2.4
2001,percentage (%),a) time series,germany (total),,2.4
2002,percentage (%),a) time series,germany (total),,2.42
2003,percentage (%),a) time series,germany (total),,2.47
2004,percentage (%),a) time series,germany (total),,2.43
2005,percentage (%),a) time series,germany (total),,2.43
2006,percentage (%),a) time series,germany (total),,2.46
2007,percentage (%),a) time series,germany (total),,2.45
2008,percentage (%),a) time series,germany (total),,2.6
2009,percentage (%),a) time series,germany (total),,2.73
2010,percentage (%),a) time series,germany (total),,2.71
2011,percentage (%),a) time series,germany (total),,2.8
2012,percentage (%),a) time series,germany (total),,2.87
2013,percentage (%),a) time series,germany (total),,2.82
2014,percentage (%),a) time series,germany (total),,2.87
2015,percentage (%),a) time series,germany (total),,2.92
2016,percentage (%),a) time series,germany (total),,2.93
2025,percentage (%),b) target (min),germany (total),,3.5
2010,percentage (%),a) time series,bb,DE4,1.42
2011,percentage (%),a) time series,bb,DE4,1.65
2012,percentage (%),a) time series,bb,DE4,1.65
2013,percentage (%),a) time series,bb,DE4,1.54
2014,percentage (%),a) time series,bb,DE4,1.58
2015,percentage (%),a) time series,bb,DE4,1.65
2010,percentage (%),a) time series,be,DE3,3.43
2011,percentage (%),a) time series,be,DE3,3.34
2012,percentage (%),a) time series,be,DE3,3.43
2013,percentage (%),a) time series,be,DE3,3.56
2014,percentage (%),a) time series,be,DE3,3.65
2015,percentage (%),a) time series,be,DE3,3.56
2010,percentage (%),a) time series,bw,DE1,4.43
2011,percentage (%),a) time series,bw,DE1,4.8
2012,percentage (%),a) time series,bw,DE1,4.92
2013,percentage (%),a) time series,bw,DE1,4.77
2014,percentage (%),a) time series,bw,DE1,4.91
2015,percentage (%),a) time series,bw,DE1,4.94
2010,percentage (%),a) time series,by,DE2,3.03
2011,percentage (%),a) time series,by,DE2,3.0
2012,percentage (%),a) time series,by,DE2,3.1
2013,percentage (%),a) time series,by,DE2,3.13
2014,percentage (%),a) time series,by,DE2,3.17
2015,percentage (%),a) time series,by,DE2,3.17
2010,percentage (%),a) time series,hb,DE5,2.64
2011,percentage (%),a) time series,hb,DE5,2.72
2012,percentage (%),a) time series,hb,DE5,2.62
2013,percentage (%),a) time series,hb,DE5,2.71
2014,percentage (%),a) time series,hb,DE5,2.85
2015,percentage (%),a) time series,hb,DE5,2.8
2010,percentage (%),a) time series,he,DE7,2.98
2011,percentage (%),a) time series,he,DE7,2.9
2012,percentage (%),a) time series,he,DE7,3.01
2013,percentage (%),a) time series,he,DE7,2.81
2014,percentage (%),a) time series,he,DE7,2.88
2015,percentage (%),a) time series,he,DE7,2.82
2010,percentage (%),a) time series,hh,DE6,2.09
2011,percentage (%),a) time series,hh,DE6,2.19
2012,percentage (%),a) time series,hh,DE6,2.24
2013,percentage (%),a) time series,hh,DE6,2.25
2014,percentage (%),a) time series,hh,DE6,2.35
2015,percentage (%),a) time series,hh,DE6,2.24
2010,percentage (%),a) time series,mv,DE8,1.97
2011,percentage (%),a) time series,mv,DE8,2.05
2012,percentage (%),a) time series,mv,DE8,2.1
2013,percentage (%),a) time series,mv,DE8,1.8
2014,percentage (%),a) time series,mv,DE8,1.88
2015,percentage (%),a) time series,mv,DE8,1.87
2010,percentage (%),a) time series,ni,DE9,2.57
2011,percentage (%),a) time series,ni,DE9,2.74
2012,percentage (%),a) time series,ni,DE9,2.79
2013,percentage (%),a) time series,ni,DE9,2.86
2014,percentage (%),a) time series,ni,DE9,2.91
2015,percentage (%),a) time series,ni,DE9,3.45
2010,percentage (%),a) time series,nw,DEA,1.94
2011,percentage (%),a) time series,nw,DEA,1.96
2012,percentage (%),a) time series,nw,DEA,2.04
2013,percentage (%),a) time series,nw,DEA,1.93
2014,percentage (%),a) time series,nw,DEA,1.99
2015,percentage (%),a) time series,nw,DEA,1.96
2010,percentage (%),a) time series,rp,DEB,2.01
2011,percentage (%),a) time series,rp,DEB,2.0
2012,percentage (%),a) time series,rp,DEB,2.01
2013,percentage (%),a) time series,rp,DEB,2.12
2014,percentage (%),a) time series,rp,DEB,2.14
2015,percentage (%),a) time series,rp,DEB,2.35
2010,percentage (%),a) time series,sh,DEF,1.3
2011,percentage (%),a) time series,sh,DEF,1.41
2012,percentage (%),a) time series,sh,DEF,1.43
2013,percentage (%),a) time series,sh,DEF,1.47
2014,percentage (%),a) time series,sh,DEF,1.53
2015,percentage (%),a) time series,sh,DEF,1.47
2010,percentage (%),a) time series,sl,DEC,1.29
2011,percentage (%),a) time series,sl,DEC,1.47
2012,percentage (%),a) time series,sl,DEC,1.46
2013,percentage (%),a) time series,sl,DEC,1.44
2014,percentage (%),a) time series,sl,DEC,1.42
2015,percentage (%),a) time series,sl,DEC,1.54
2010,percentage (%),a) time series,sn,DED,2.78
2011,percentage (%),a) time series,sn,DED,2.8
2012,percentage (%),a) time series,sn,DED,2.8
2013,percentage (%),a) time series,sn,DED,2.76
2014,percentage (%),a) time series,sn,DED,2.67
2015,percentage (%),a) time series,sn,DED,2.73
2010,percentage (%),a) time series,st,DEE,1.4
2011,percentage (%),a) time series,st,DEE,1.48
2012,percentage (%),a) time series,st,DEE,1.4
2013,percentage (%),a) time series,st,DEE,1.42
2014,percentage (%),a) time series,st,DEE,1.46
2015,percentage (%),a) time series,st,DEE,1.4
2010,percentage (%),a) time series,th,DEG,2.16
2011,percentage (%),a) time series,th,DEG,2.12
2012,percentage (%),a) time series,th,DEG,2.19
2013,percentage (%),a) time series,th,DEG,2.16
2014,percentage (%),a) time series,th,DEG,2.13
2015,percentage (%),a) time series,th,DEG,2.01
