Year,Units,display,title,Bundesland,GeoCode,Value
2005,1 000,a) time series,a) total,,,140519
2006,1 000,a) time series,a) total,,,141289
2007,1 000,a) time series,a) total,,,136087
2008,1 000,a) time series,a) total,,,140832
2009,1 000,a) time series,a) total,,,147152
2010,1 000,a) time series,a) total,,,153690
2011,1 000,a) time series,a) total,,,158557
2012,1 000,a) time series,a) total,,,170618
2013,1 000,a) time series,a) total,,,185787
2014,1 000,a) time series,a) total,,,200349
2015,1 000,a) time series,a) total,,,215258
2016,1 000,a) time series,a) total,,,230688
2017,1 000,a) time series,a) total,,,247435
2018,1 000,a) time series,a) total,,,267250
2019,1 000,a) time series,a) total,,,285450
2020,1 000,b) target (max),a) total,,,237000
2006,1 000,b) target (max),a) total,bw,code08,20133
2007,1 000,b) target (max),a) total,bw,code08,19383
2008,1 000,b) target (max),a) total,bw,code08,19840
2009,1 000,b) target (max),a) total,bw,code08,20914
2010,1 000,b) target (max),a) total,bw,code08,21886
2011,1 000,b) target (max),a) total,bw,code08,21857
2012,1 000,b) target (max),a) total,bw,code08,24175
2013,1 000,b) target (max),a) total,bw,code08,26218
2014,1 000,b) target (max),a) total,bw,code08,28199
2015,1 000,b) target (max),a) total,bw,code08,30019
2016,1 000,b) target (max),a) total,bw,code08,32126
2017,1 000,b) target (max),a) total,bw,code08,32564
2018,1 000,b) target (max),a) total,bw,code08,32221
2019,1 000,b) target (max),a) total,bw,code08,31591
2006,1 000,b) target (max),a) total,by,code09,13978
2007,1 000,b) target (max),a) total,by,code09,13633
2008,1 000,b) target (max),a) total,by,code09,14130
2009,1 000,b) target (max),a) total,by,code09,14747
2010,1 000,b) target (max),a) total,by,code09,15618
2011,1 000,b) target (max),a) total,by,code09,16297
2012,1 000,b) target (max),a) total,by,code09,17742
2013,1 000,b) target (max),a) total,by,code09,20459
2014,1 000,b) target (max),a) total,by,code09,22184
2015,1 000,b) target (max),a) total,by,code09,24310
2016,1 000,b) target (max),a) total,by,code09,26347
2017,1 000,b) target (max),a) total,by,code09,30357
2018,1 000,b) target (max),a) total,by,code09,34357
2019,1 000,b) target (max),a) total,by,code09,37939
2006,1 000,b) target (max),a) total,be,code11,9715
2007,1 000,b) target (max),a) total,be,code11,10005
2008,1 000,b) target (max),a) total,be,code11,10531
2009,1 000,b) target (max),a) total,be,code11,10914
2010,1 000,b) target (max),a) total,be,code11,11647
2011,1 000,b) target (max),a) total,be,code11,11931
2012,1 000,b) target (max),a) total,be,code11,12536
2013,1 000,b) target (max),a) total,be,code11,13498
2014,1 000,b) target (max),a) total,be,code11,14509
2015,1 000,b) target (max),a) total,be,code11,15767
2016,1 000,b) target (max),a) total,be,code11,17179
2017,1 000,b) target (max),a) total,be,code11,19899
2018,1 000,b) target (max),a) total,be,code11,22086
2019,1 000,b) target (max),a) total,be,code11,24341
2006,1 000,b) target (max),a) total,bb,code12,2568
2007,1 000,b) target (max),a) total,bb,code12,2630
2008,1 000,b) target (max),a) total,bb,code12,2675
2009,1 000,b) target (max),a) total,bb,code12,2808
2010,1 000,b) target (max),a) total,bb,code12,2862
2011,1 000,b) target (max),a) total,bb,code12,3045
2012,1 000,b) target (max),a) total,bb,code12,3374
2013,1 000,b) target (max),a) total,bb,code12,3522
2014,1 000,b) target (max),a) total,bb,code12,3754
2015,1 000,b) target (max),a) total,bb,code12,4022
2016,1 000,b) target (max),a) total,bb,code12,4418
2017,1 000,b) target (max),a) total,bb,code12,4947
2018,1 000,b) target (max),a) total,bb,code12,5378
2019,1 000,b) target (max),a) total,bb,code12,5905
2006,1 000,b) target (max),a) total,hb,code04,3789
2007,1 000,b) target (max),a) total,hb,code04,3644
2008,1 000,b) target (max),a) total,hb,code04,3552
2009,1 000,b) target (max),a) total,hb,code04,3467
2010,1 000,b) target (max),a) total,hb,code04,3350
2011,1 000,b) target (max),a) total,hb,code04,3378
2012,1 000,b) target (max),a) total,hb,code04,3430
2013,1 000,b) target (max),a) total,hb,code04,3583
2014,1 000,b) target (max),a) total,hb,code04,3741
2015,1 000,b) target (max),a) total,hb,code04,3855
2016,1 000,b) target (max),a) total,hb,code04,4047
2017,1 000,b) target (max),a) total,hb,code04,4533
2018,1 000,b) target (max),a) total,hb,code04,4716
2019,1 000,b) target (max),a) total,hb,code04,5144
2006,1 000,b) target (max),a) total,hh,code02,5311
2007,1 000,b) target (max),a) total,hh,code02,4970
2008,1 000,b) target (max),a) total,hh,code02,5028
2009,1 000,b) target (max),a) total,hh,code02,5202
2010,1 000,b) target (max),a) total,hh,code02,5384
2011,1 000,b) target (max),a) total,hh,code02,5611
2012,1 000,b) target (max),a) total,hh,code02,5981
2013,1 000,b) target (max),a) total,hh,code02,6189
2014,1 000,b) target (max),a) total,hh,code02,6366
2015,1 000,b) target (max),a) total,hh,code02,6741
2016,1 000,b) target (max),a) total,hh,code02,7205
2017,1 000,b) target (max),a) total,hh,code02,7685
2018,1 000,b) target (max),a) total,hh,code02,8619
2019,1 000,b) target (max),a) total,hh,code02,9058
2006,1 000,b) target (max),a) total,he,code06,14955
2007,1 000,b) target (max),a) total,he,code06,13532
2008,1 000,b) target (max),a) total,he,code06,15441
2009,1 000,b) target (max),a) total,he,code06,17026
2010,1 000,b) target (max),a) total,he,code06,18427
2011,1 000,b) target (max),a) total,he,code06,18524
2012,1 000,b) target (max),a) total,he,code06,19593
2013,1 000,b) target (max),a) total,he,code06,21041
2014,1 000,b) target (max),a) total,he,code06,22324
2015,1 000,b) target (max),a) total,he,code06,23542
2016,1 000,b) target (max),a) total,he,code06,24605
2017,1 000,b) target (max),a) total,he,code06,25754
2018,1 000,b) target (max),a) total,he,code06,27467
2019,1 000,b) target (max),a) total,he,code06,28777
2006,1 000,b) target (max),a) total,mv,code13,1194
2007,1 000,b) target (max),a) total,mv,code13,1207
2008,1 000,b) target (max),a) total,mv,code13,1195
2009,1 000,b) target (max),a) total,mv,code13,1291
2010,1 000,b) target (max),a) total,mv,code13,1390
2011,1 000,b) target (max),a) total,mv,code13,1405
2012,1 000,b) target (max),a) total,mv,code13,1442
2013,1 000,b) target (max),a) total,mv,code13,1618
2014,1 000,b) target (max),a) total,mv,code13,1759
2015,1 000,b) target (max),a) total,mv,code13,1972
2016,1 000,b) target (max),a) total,mv,code13,2303
2017,1 000,b) target (max),a) total,mv,code13,2775
2018,1 000,b) target (max),a) total,mv,code13,3115
2019,1 000,b) target (max),a) total,mv,code13,3247
2006,1 000,b) target (max),a) total,ni,code03,10759
2007,1 000,b) target (max),a) total,ni,code03,10237
2008,1 000,b) target (max),a) total,ni,code03,10357
2009,1 000,b) target (max),a) total,ni,code03,10402
2010,1 000,b) target (max),a) total,ni,code03,10444
2011,1 000,b) target (max),a) total,ni,code03,10452
2012,1 000,b) target (max),a) total,ni,code03,11133
2013,1 000,b) target (max),a) total,ni,code03,12109
2014,1 000,b) target (max),a) total,ni,code03,13195
2015,1 000,b) target (max),a) total,ni,code03,14657
2016,1 000,b) target (max),a) total,ni,code03,15932
2017,1 000,b) target (max),a) total,ni,code03,17702
2018,1 000,b) target (max),a) total,ni,code03,19333
2019,1 000,b) target (max),a) total,ni,code03,20687
2006,1 000,b) target (max),a) total,nw,code05,38324
2007,1 000,b) target (max),a) total,nw,code05,35303
2008,1 000,b) target (max),a) total,nw,code05,36388
2009,1 000,b) target (max),a) total,nw,code05,37820
2010,1 000,b) target (max),a) total,nw,code05,38968
2011,1 000,b) target (max),a) total,nw,code05,41572
2012,1 000,b) target (max),a) total,nw,code05,44860
2013,1 000,b) target (max),a) total,nw,code05,48945
2014,1 000,b) target (max),a) total,nw,code05,53164
2015,1 000,b) target (max),a) total,nw,code05,56422
2016,1 000,b) target (max),a) total,nw,code05,60688
2017,1 000,b) target (max),a) total,nw,code05,63089
2018,1 000,b) target (max),a) total,nw,code05,67424
2019,1 000,b) target (max),a) total,nw,code05,72166
2006,1 000,b) target (max),a) total,rp,code07,6488
2007,1 000,b) target (max),a) total,rp,code07,6993
2008,1 000,b) target (max),a) total,rp,code07,7166
2009,1 000,b) target (max),a) total,rp,code07,6992
2010,1 000,b) target (max),a) total,rp,code07,7023
2011,1 000,b) target (max),a) total,rp,code07,6748
2012,1 000,b) target (max),a) total,rp,code07,6820
2013,1 000,b) target (max),a) total,rp,code07,6951
2014,1 000,b) target (max),a) total,rp,code07,7214
2015,1 000,b) target (max),a) total,rp,code07,7575
2016,1 000,b) target (max),a) total,rp,code07,8177
2017,1 000,b) target (max),a) total,rp,code07,8928
2018,1 000,b) target (max),a) total,rp,code07,10194
2019,1 000,b) target (max),a) total,rp,code07,11069
2006,1 000,b) target (max),a) total,sl,code10,1572
2007,1 000,b) target (max),a) total,sl,code10,1573
2008,1 000,b) target (max),a) total,sl,code10,1597
2009,1 000,b) target (max),a) total,sl,code10,1708
2010,1 000,b) target (max),a) total,sl,code10,1959
2011,1 000,b) target (max),a) total,sl,code10,2085
2012,1 000,b) target (max),a) total,sl,code10,2164
2013,1 000,b) target (max),a) total,sl,code10,2246
2014,1 000,b) target (max),a) total,sl,code10,2331
2015,1 000,b) target (max),a) total,sl,code10,2413
2016,1 000,b) target (max),a) total,sl,code10,2419
2017,1 000,b) target (max),a) total,sl,code10,2481
2018,1 000,b) target (max),a) total,sl,code10,2725
