Year,Units,display,sex,Bundesland,GeoCode,Value
1991,per 100 000 inhabitants,a) time series,female,,,234.6
1992,per 100 000 inhabitants,a) time series,female,,,225.0
1993,per 100 000 inhabitants,a) time series,female,,,222.9
1994,per 100 000 inhabitants,a) time series,female,,,216.4
1995,per 100 000 inhabitants,a) time series,female,,,212.2
1996,per 100 000 inhabitants,a) time series,female,,,208.2
1997,per 100 000 inhabitants,a) time series,female,,,199.6
1998,per 100 000 inhabitants,a) time series,female,,,193.3
1999,per 100 000 inhabitants,a) time series,female,,,188.8
2000,per 100 000 inhabitants,a) time series,female,,,184.3
2001,per 100 000 inhabitants,a) time series,female,,,179.0
2002,per 100 000 inhabitants,a) time series,female,,,177.0
2003,per 100 000 inhabitants,a) time series,female,,,173.2
2004,per 100 000 inhabitants,a) time series,female,,,166.4
2005,per 100 000 inhabitants,a) time series,female,,,164.7
2006,per 100 000 inhabitants,a) time series,female,,,159.2
2007,per 100 000 inhabitants,a) time series,female,,,157.9
2008,per 100 000 inhabitants,a) time series,female,,,158.8
2009,per 100 000 inhabitants,a) time series,female,,,157.4
2010,per 100 000 inhabitants,a) time series,female,,,155.4
2011,per 100 000 inhabitants,a) time series,female,,,157.1
2012,per 100 000 inhabitants,a) time series,female,,,152.9
2013,per 100 000 inhabitants,a) time series,female,,,155.8
2014,per 100 000 inhabitants,a) time series,female,,,149.1
2015,per 100 000 inhabitants,a) time series,female,,,153.0
2030,per 100 000 inhabitants,b) target (max),female,,,100.0
1998,per 100 000 inhabitants,a) time series,female,bb,DE4,206.6
1999,per 100 000 inhabitants,a) time series,female,bb,DE4,195.1
2000,per 100 000 inhabitants,a) time series,female,bb,DE4,187.1
2001,per 100 000 inhabitants,a) time series,female,bb,DE4,182.5
2002,per 100 000 inhabitants,a) time series,female,bb,DE4,177.1
2003,per 100 000 inhabitants,a) time series,female,bb,DE4,173.6
2004,per 100 000 inhabitants,a) time series,female,bb,DE4,165.8
2005,per 100 000 inhabitants,a) time series,female,bb,DE4,161.6
2006,per 100 000 inhabitants,a) time series,female,bb,DE4,157.6
2007,per 100 000 inhabitants,a) time series,female,bb,DE4,153.3
2008,per 100 000 inhabitants,a) time series,female,bb,DE4,151.2
2009,per 100 000 inhabitants,a) time series,female,bb,DE4,150.4
2010,per 100 000 inhabitants,a) time series,female,bb,DE4,152.9
2011,per 100 000 inhabitants,a) time series,female,bb,DE4,151.8
2012,per 100 000 inhabitants,a) time series,female,bb,DE4,145.0
2013,per 100 000 inhabitants,a) time series,female,bb,DE4,156.9
2014,per 100 000 inhabitants,a) time series,female,bb,DE4,145.0
2015,per 100 000 inhabitants,a) time series,female,bb,DE4,153.0
1998,per 100 000 inhabitants,a) time series,female,be,DE3,224.2
1999,per 100 000 inhabitants,a) time series,female,be,DE3,214.1
2000,per 100 000 inhabitants,a) time series,female,be,DE3,205.5
2001,per 100 000 inhabitants,a) time series,female,be,DE3,191.3
2002,per 100 000 inhabitants,a) time series,female,be,DE3,202.1
2003,per 100 000 inhabitants,a) time series,female,be,DE3,187.6
2004,per 100 000 inhabitants,a) time series,female,be,DE3,178.0
2005,per 100 000 inhabitants,a) time series,female,be,DE3,185.7
2006,per 100 000 inhabitants,a) time series,female,be,DE3,174.7
2007,per 100 000 inhabitants,a) time series,female,be,DE3,169.0
2008,per 100 000 inhabitants,a) time series,female,be,DE3,174.4
2009,per 100 000 inhabitants,a) time series,female,be,DE3,166.7
2010,per 100 000 inhabitants,a) time series,female,be,DE3,164.0
2011,per 100 000 inhabitants,a) time series,female,be,DE3,173.5
2012,per 100 000 inhabitants,a) time series,female,be,DE3,170.5
2013,per 100 000 inhabitants,a) time series,female,be,DE3,162.5
2014,per 100 000 inhabitants,a) time series,female,be,DE3,162.1
2015,per 100 000 inhabitants,a) time series,female,be,DE3,168.9
