Year,Units,display,Bundesland,GeoCode,Value
2005,percentage (%),a) time series,a) germany (total),,7.10
2006,percentage (%),a) time series,a) germany (total),,8.40
2007,percentage (%),a) time series,a) germany (total),,10.20
2008,percentage (%),a) time series,a) germany (total),,10.10
2009,percentage (%),a) time series,a) germany (total),,10.70
2010,percentage (%),a) time series,a) germany (total),,11.40
2011,percentage (%),a) time series,a) germany (total),,12.50
2012,percentage (%),a) time series,a) germany (total),,13.60
2013,percentage (%),a) time series,a) germany (total),,13.80
2014,percentage (%),a) time series,a) germany (total),,14.30
2015,percentage (%),a) time series,a) germany (total),,15.20
2016,percentage (%),a) time series,a) germany (total),,14.90
2017,percentage (%),a) time series,a) germany (total),,16.00
2018,percentage (%),a) time series,a) germany (total),,16.80
2019,percentage (%),a) time series,a) germany (total),,17.70
2020,percentage (%),b) target (min),a) germany (total),,18.00
2030,percentage (%),b) target (min),a) germany (total),,30.00
2040,percentage (%),b) target (min),a) germany (total),,45.00
2050,percentage (%),b) target (min),a) germany (total),,60.00
2005,percentage (%),a) time series,bw,Baden-Württemberg,6.90
2006,percentage (%),a) time series,bw,Baden-Württemberg,8.40
2007,percentage (%),a) time series,bw,Baden-Württemberg,9.70
2008,percentage (%),a) time series,bw,Baden-Württemberg,9.40
2009,percentage (%),a) time series,bw,Baden-Württemberg,9.90
2010,percentage (%),a) time series,bw,Baden-Württemberg,11.30
2011,percentage (%),a) time series,bw,Baden-Württemberg,11.40
2012,percentage (%),a) time series,bw,Baden-Württemberg,12.50
2013,percentage (%),a) time series,bw,Baden-Württemberg,12.60
2014,percentage (%),a) time series,bw,Baden-Württemberg,13.10
2015,percentage (%),a) time series,bw,Baden-Württemberg,13.00
2016,percentage (%),a) time series,bw,Baden-Württemberg,13.50
2005,percentage (%),a) time series,by,Bayern,8.60
2006,percentage (%),a) time series,by,Bayern,9.50
2007,percentage (%),a) time series,by,Bayern,10.40
2008,percentage (%),a) time series,by,Bayern,10.10
2009,percentage (%),a) time series,by,Bayern,10.80
2010,percentage (%),a) time series,by,Bayern,14.60
2011,percentage (%),a) time series,by,Bayern,15.40
2012,percentage (%),a) time series,by,Bayern,17.70
2013,percentage (%),a) time series,by,Bayern,18.20
2014,percentage (%),a) time series,by,Bayern,18.30
2015,percentage (%),a) time series,by,Bayern,19.00
2016,percentage (%),a) time series,by,Bayern,18.70
2005,percentage (%),a) time series,be,Berlin,1.30
2006,percentage (%),a) time series,be,Berlin,1.90
2007,percentage (%),a) time series,be,Berlin,2.40
2008,percentage (%),a) time series,be,Berlin,1.60
2009,percentage (%),a) time series,be,Berlin,2.20
2010,percentage (%),a) time series,be,Berlin,2.90
2011,percentage (%),a) time series,be,Berlin,3.30
2012,percentage (%),a) time series,be,Berlin,3.40
2013,percentage (%),a) time series,be,Berlin,3.60
2014,percentage (%),a) time series,be,Berlin,3.40
2015,percentage (%),a) time series,be,Berlin,3.60
2016,percentage (%),a) time series,be,Berlin,3.50
2005,percentage (%),a) time series,bb,Brandenburg,9.40
2006,percentage (%),a) time series,bb,Brandenburg,15.10
2007,percentage (%),a) time series,bb,Brandenburg,20.10
2008,percentage (%),a) time series,bb,Brandenburg,20.10
2009,percentage (%),a) time series,bb,Brandenburg,21.70
2010,percentage (%),a) time series,bb,Brandenburg,23.00
2011,percentage (%),a) time series,bb,Brandenburg,26.20
2012,percentage (%),a) time series,bb,Brandenburg,26.80
2013,percentage (%),a) time series,bb,Brandenburg,27.30
2014,percentage (%),a) time series,bb,Brandenburg,27.20
2015,percentage (%),a) time series,bb,Brandenburg,29.90
2016,percentage (%),a) time series,bb,Brandenburg,28.30
2005,percentage (%),a) time series,hb,Bremen,2.10
2006,percentage (%),a) time series,hb,Bremen,2.60
2007,percentage (%),a) time series,hb,Bremen,2.70
2008,percentage (%),a) time series,hb,Bremen,2.70
2009,percentage (%),a) time series,hb,Bremen,2.90
2010,percentage (%),a) time series,hb,Bremen,3.20
2011,percentage (%),a) time series,hb,Bremen,3.50
2012,percentage (%),a) time series,hb,Bremen,3.70
2013,percentage (%),a) time series,hb,Bremen,4.30
2014,percentage (%),a) time series,hb,Bremen,5.10
2015,percentage (%),a) time series,hb,Bremen,4.60
2005,percentage (%),a) time series,hh,Hamburg,2.40
2006,percentage (%),a) time series,hh,Hamburg,3.40
2007,percentage (%),a) time series,hh,Hamburg,4.00
2008,percentage (%),a) time series,hh,Hamburg,3.50
2009,percentage (%),a) time series,hh,Hamburg,4.00
2010,percentage (%),a) time series,hh,Hamburg,3.40
2011,percentage (%),a) time series,hh,Hamburg,3.90
2012,percentage (%),a) time series,hh,Hamburg,4.00
2013,percentage (%),a) time series,hh,Hamburg,3.90
2014,percentage (%),a) time series,hh,Hamburg,4.40
2015,percentage (%),a) time series,hh,Hamburg,4.50
2016,percentage (%),a) time series,hh,Hamburg,4.20
2005,percentage (%),a) time series,he,Hessen,4.30
2006,percentage (%),a) time series,he,Hessen,5.30
2007,percentage (%),a) time series,he,Hessen,6.10
2008,percentage (%),a) time series,he,Hessen,5.80
2009,percentage (%),a) time series,he,Hessen,6.30
2010,percentage (%),a) time series,he,Hessen,7.50
2011,percentage (%),a) time series,he,Hessen,8.10
2012,percentage (%),a) time series,he,Hessen,8.30
2013,percentage (%),a) time series,he,Hessen,8.70
2014,percentage (%),a) time series,he,Hessen,8.70
