Year,Units,display,sex,age,Bundesland,GeoCode,Value
2000,percentage (%),a) time series,male and female,20 - 64 years,a) germany (total),,68.7
2001,percentage (%),a) time series,male and female,20 - 64 years,a) germany (total),,69.1
2002,percentage (%),a) time series,male and female,20 - 64 years,a) germany (total),,68.8
2003,percentage (%),a) time series,male and female,20 - 64 years,a) germany (total),,68.4
2004,percentage (%),a) time series,male and female,20 - 64 years,a) germany (total),,67.9
2005,percentage (%),a) time series,male and female,20 - 64 years,a) germany (total),,69.4
2006,percentage (%),a) time series,male and female,20 - 64 years,a) germany (total),,71.1
2007,percentage (%),a) time series,male and female,20 - 64 years,a) germany (total),,72.9
2008,percentage (%),a) time series,male and female,20 - 64 years,a) germany (total),,74.0
2009,percentage (%),a) time series,male and female,20 - 64 years,a) germany (total),,74.2
2010,percentage (%),a) time series,male and female,20 - 64 years,a) germany (total),,75.0
2011,percentage (%),a) time series,male and female,20 - 64 years,a) germany (total),,76.5
2012,percentage (%),a) time series,male and female,20 - 64 years,a) germany (total),,76.9
2013,percentage (%),a) time series,male and female,20 - 64 years,a) germany (total),,77.3
2014,percentage (%),a) time series,male and female,20 - 64 years,a) germany (total),,77.7
2015,percentage (%),a) time series,male and female,20 - 64 years,a) germany (total),,78.0
2016,percentage (%),a) time series,male and female,20 - 64 years,a) germany (total),,78.6
2017,percentage (%),a) time series,male and female,20 - 64 years,a) germany (total),,79.2
2018,percentage (%),a) time series,male and female,20 - 64 years,a) germany (total),,79.9
2019,percentage (%),a) time series,male and female,20 - 64 years,a) germany (total),,80.6
2030,percentage (%),b) target (min),male and female,20 - 64 years,a) germany (total),,78.0
2000,percentage (%),a) time series,female,20 - 64 years,a) germany (total),,60.7
2001,percentage (%),a) time series,female,20 - 64 years,a) germany (total),,61.6
2002,percentage (%),a) time series,female,20 - 64 years,a) germany (total),,61.8
2003,percentage (%),a) time series,female,20 - 64 years,a) germany (total),,62.0
2004,percentage (%),a) time series,female,20 - 64 years,a) germany (total),,61.8
2005,percentage (%),a) time series,female,20 - 64 years,a) germany (total),,63.1
2006,percentage (%),a) time series,female,20 - 64 years,a) germany (total),,65.0
2007,percentage (%),a) time series,female,20 - 64 years,a) germany (total),,66.7
2008,percentage (%),a) time series,female,20 - 64 years,a) germany (total),,67.8
2009,percentage (%),a) time series,female,20 - 64 years,a) germany (total),,68.7
2010,percentage (%),a) time series,female,20 - 64 years,a) germany (total),,69.7
2011,percentage (%),a) time series,female,20 - 64 years,a) germany (total),,71.3
2012,percentage (%),a) time series,female,20 - 64 years,a) germany (total),,71.6
2013,percentage (%),a) time series,female,20 - 64 years,a) germany (total),,72.5
2014,percentage (%),a) time series,female,20 - 64 years,a) germany (total),,73.1
2015,percentage (%),a) time series,female,20 - 64 years,a) germany (total),,73.6
2016,percentage (%),a) time series,female,20 - 64 years,a) germany (total),,74.5
2017,percentage (%),a) time series,female,20 - 64 years,a) germany (total),,75.2
2018,percentage (%),a) time series,female,20 - 64 years,a) germany (total),,75.8
2019,percentage (%),a) time series,female,20 - 64 years,a) germany (total),,76.6
2000,percentage (%),a) time series,male,20 - 64 years,a) germany (total),,76.5
2001,percentage (%),a) time series,male,20 - 64 years,a) germany (total),,76.4
2002,percentage (%),a) time series,male,20 - 64 years,a) germany (total),,75.6
2003,percentage (%),a) time series,male,20 - 64 years,a) germany (total),,74.8
2004,percentage (%),a) time series,male,20 - 64 years,a) germany (total),,74.0
2005,percentage (%),a) time series,male,20 - 64 years,a) germany (total),,75.6
2006,percentage (%),a) time series,male,20 - 64 years,a) germany (total),,77.2
2007,percentage (%),a) time series,male,20 - 64 years,a) germany (total),,79.1
2008,percentage (%),a) time series,male,20 - 64 years,a) germany (total),,80.1
2009,percentage (%),a) time series,male,20 - 64 years,a) germany (total),,79.6
2010,percentage (%),a) time series,male,20 - 64 years,a) germany (total),,80.4
2011,percentage (%),a) time series,male,20 - 64 years,a) germany (total),,81.7
2012,percentage (%),a) time series,male,20 - 64 years,a) germany (total),,82.1
2013,percentage (%),a) time series,male,20 - 64 years,a) germany (total),,82.1
2014,percentage (%),a) time series,male,20 - 64 years,a) germany (total),,82.2
2015,percentage (%),a) time series,male,20 - 64 years,a) germany (total),,82.3
2016,percentage (%),a) time series,male,20 - 64 years,a) germany (total),,82.7
2017,percentage (%),a) time series,male,20 - 64 years,a) germany (total),,83.1
2018,percentage (%),a) time series,male,20 - 64 years,a) germany (total),,83.9
2019,percentage (%),a) time series,male,20 - 64 years,a) germany (total),,84.6
2000,percentage (%),a) time series,male and female,20 - 64 years,bw,code080000000000,73.1
2001,percentage (%),a) time series,male and female,20 - 64 years,bw,code080000000000,73.4
2002,percentage (%),a) time series,male and female,20 - 64 years,bw,code080000000000,73.5
2003,percentage (%),a) time series,male and female,20 - 64 years,bw,code080000000000,73.7
2004,percentage (%),a) time series,male and female,20 - 64 years,bw,code080000000000,73.4
2005,percentage (%),a) time series,male and female,20 - 64 years,bw,code080000000000,74.1
2006,percentage (%),a) time series,male and female,20 - 64 years,bw,code080000000000,75.4
2007,percentage (%),a) time series,male and female,20 - 64 years,bw,code080000000000,77.3
2008,percentage (%),a) time series,male and female,20 - 64 years,bw,code080000000000,78.4
2009,percentage (%),a) time series,male and female,20 - 64 years,bw,code080000000000,77.8
2010,percentage (%),a) time series,male and female,20 - 64 years,bw,code080000000000,78.2
2011,percentage (%),a) time series,male and female,20 - 64 years,bw,code080000000000,79.9
2012,percentage (%),a) time series,male and female,20 - 64 years,bw,code080000000000,80.1
2013,percentage (%),a) time series,male and female,20 - 64 years,bw,code080000000000,80.7
