Year,Units,display,Bundesland,GeoCode,Value
1990,1990 = 100,a) time series,a) germany (total),,100.0
1991,1990 = 100,a) time series,a) germany (total),,96.2
1992,1990 = 100,a) time series,a) germany (total),,92.2
1993,1990 = 100,a) time series,a) germany (total),,91.5
1994,1990 = 100,a) time series,a) germany (total),,90.0
1995,1990 = 100,a) time series,a) germany (total),,89.7
1996,1990 = 100,a) time series,a) germany (total),,91.2
1997,1990 = 100,a) time series,a) germany (total),,88.3
1998,1990 = 100,a) time series,a) germany (total),,86.3
1999,1990 = 100,a) time series,a) germany (total),,83.6
2000,1990 = 100,a) time series,a) germany (total),,83.5
2001,1990 = 100,a) time series,a) germany (total),,84.7
2002,1990 = 100,a) time series,a) germany (total),,83.0
2003,1990 = 100,a) time series,a) germany (total),,82.7
2004,1990 = 100,a) time series,a) germany (total),,81.4
2005,1990 = 100,a) time series,a) germany (total),,79.4
2006,1990 = 100,a) time series,a) germany (total),,79.9
2007,1990 = 100,a) time series,a) germany (total),,77.8
2008,1990 = 100,a) time series,a) germany (total),,78.0
2009,1990 = 100,a) time series,a) germany (total),,72.7
2010,1990 = 100,a) time series,a) germany (total),,75.3
2011,1990 = 100,a) time series,a) germany (total),,73.5
2012,1990 = 100,a) time series,a) germany (total),,73.8
2013,1990 = 100,a) time series,a) germany (total),,75.2
2014,1990 = 100,a) time series,a) germany (total),,72.1
2015,1990 = 100,a) time series,a) germany (total),,72.4
2016,1990 = 100,a) time series,a) germany (total),,72.6
2017,1990 = 100,a) time series,a) germany (total),,71.5
2018,1990 = 100,a) time series,a) germany (total),,68.6
2019,1990 = 100,a) time series,a) germany (total),,64.3
2020,1990 = 100,b) target (max),a) germany (total),,60.0
2030,1990 = 100,b) target (max),a) germany (total),,45.0
2050,1990 = 100,b) target (max),a) germany (total),,0.0
1990,1990 = 100,a) time series,bw,80000000000.0,100.0
1995,1990 = 100,a) time series,bw,80000000000.0,103.5
2000,1990 = 100,a) time series,bw,80000000000.0,97.1
2003,1990 = 100,a) time series,bw,80000000000.0,97.1
2004,1990 = 100,a) time series,bw,80000000000.0,95.7
2005,1990 = 100,a) time series,bw,80000000000.0,98.1
2006,1990 = 100,a) time series,bw,80000000000.0,99.0
2007,1990 = 100,a) time series,bw,80000000000.0,90.9
2008,1990 = 100,a) time series,bw,80000000000.0,92.8
2009,1990 = 100,a) time series,bw,80000000000.0,85.4
2010,1990 = 100,a) time series,bw,80000000000.0,87.3
2011,1990 = 100,a) time series,bw,80000000000.0,85.6
2012,1990 = 100,a) time series,bw,80000000000.0,84.6
2013,1990 = 100,a) time series,bw,80000000000.0,90.4
2014,1990 = 100,a) time series,bw,80000000000.0,84.7
2015,1990 = 100,a) time series,bw,80000000000.0,86.3
2016,1990 = 100,a) time series,bw,80000000000.0,88.5
2017,1990 = 100,a) time series,bw,80000000000.0,88.7
1990,1990 = 100,a) time series,by,90000000000.0,100.0
1995,1990 = 100,a) time series,by,90000000000.0,101.1
2000,1990 = 100,a) time series,by,90000000000.0,98.4
2003,1990 = 100,a) time series,by,90000000000.0,92.9
2004,1990 = 100,a) time series,by,90000000000.0,91.3
2005,1990 = 100,a) time series,by,90000000000.0,88.4
2006,1990 = 100,a) time series,by,90000000000.0,89.2
2007,1990 = 100,a) time series,by,90000000000.0,82.4
2008,1990 = 100,a) time series,by,90000000000.0,87.0
2009,1990 = 100,a) time series,by,90000000000.0,86.5
2010,1990 = 100,a) time series,by,90000000000.0,89.9
2011,1990 = 100,a) time series,by,90000000000.0,88.7
2012,1990 = 100,a) time series,by,90000000000.0,88.6
2013,1990 = 100,a) time series,by,90000000000.0,89.2
2014,1990 = 100,a) time series,by,90000000000.0,85.1
2015,1990 = 100,a) time series,by,90000000000.0,85.9
2016,1990 = 100,a) time series,by,90000000000.0,87.5
2017,1990 = 100,a) time series,by,90000000000.0,87.5
1990,1990 = 100,a) time series,be,110000000000.0,100.0
1995,1990 = 100,a) time series,be,110000000000.0,90.5
2000,1990 = 100,a) time series,be,110000000000.0,86.0
2003,1990 = 100,a) time series,be,110000000000.0,76.7
2004,1990 = 100,a) time series,be,110000000000.0,72.7
2005,1990 = 100,a) time series,be,110000000000.0,71.8
2006,1990 = 100,a) time series,be,110000000000.0,71.2
2007,1990 = 100,a) time series,be,110000000000.0,62.4
2008,1990 = 100,a) time series,be,110000000000.0,65.9
2009,1990 = 100,a) time series,be,110000000000.0,64.1
2010,1990 = 100,a) time series,be,110000000000.0,70.3
2011,1990 = 100,a) time series,be,110000000000.0,61.8
2012,1990 = 100,a) time series,be,110000000000.0,62.0
2013,1990 = 100,a) time series,be,110000000000.0,64.4
2014,1990 = 100,a) time series,be,110000000000.0,60.8
2015,1990 = 100,a) time series,be,110000000000.0,58.4
2016,1990 = 100,a) time series,be,110000000000.0,59.5
2017,1990 = 100,a) time series,be,110000000000.0,58.5
1990,1990 = 100,a) time series,bb,120000000000.0,100.0
1995,1990 = 100,a) time series,bb,120000000000.0,66.8
2000,1990 = 100,a) time series,bb,120000000000.0,78.3
2003,1990 = 100,a) time series,bb,120000000000.0,74.8
2004,1990 = 100,a) time series,bb,120000000000.0,75.8
2005,1990 = 100,a) time series,bb,120000000000.0,76.9
2006,1990 = 100,a) time series,bb,120000000000.0,74.8
2007,1990 = 100,a) time series,bb,120000000000.0,74.3
2008,1990 = 100,a) time series,bb,120000000000.0,72.8
2009,1990 = 100,a) time series,bb,120000000000.0,68.0
2010,1990 = 100,a) time series,bb,120000000000.0,70.8
2011,1990 = 100,a) time series,bb,120000000000.0,71.4
2012,1990 = 100,a) time series,bb,120000000000.0,72.3
2013,1990 = 100,a) time series,bb,120000000000.0,72.1
2014,1990 = 100,a) time series,bb,120000000000.0,70.7
2015,1990 = 100,a) time series,bb,120000000000.0,70.7
2016,1990 = 100,a) time series,bb,120000000000.0,70.9
2017,1990 = 100,a) time series,bb,120000000000.0,70.3
1990,1990 = 100,a) time series,hb,40000000000.0,100.0
1995,1990 = 100,a) time series,hb,40000000000.0,98.1
2000,1990 = 100,a) time series,hb,40000000000.0,103.1
2003,1990 = 100,a) time series,hb,40000000000.0,106.1
2004,1990 = 100,a) time series,hb,40000000000.0,94.7
2005,1990 = 100,a) time series,hb,40000000000.0,88.7
2006,1990 = 100,a) time series,hb,40000000000.0,92.2
2007,1990 = 100,a) time series,hb,40000000000.0,99.1
2008,1990 = 100,a) time series,hb,40000000000.0,95.1
2009,1990 = 100,a) time series,hb,40000000000.0,91.6
2010,1990 = 100,a) time series,hb,40000000000.0,101.5
2011,1990 = 100,a) time series,hb,40000000000.0,95.5
2012,1990 = 100,a) time series,hb,40000000000.0,96.5
2013,1990 = 100,a) time series,hb,40000000000.0,96.7
2014,1990 = 100,a) time series,hb,40000000000.0,92.4
2015,1990 = 100,a) time series,hb,40000000000.0,95.9
2016,1990 = 100,a) time series,hb,40000000000.0,93.3
2017,1990 = 100,a) time series,hb,40000000000.0,97.1
1990,1990 = 100,a) time series,hh,20000000000.0,100.0
1995,1990 = 100,a) time series,hh,20000000000.0,104.9
2003,1990 = 100,a) time series,hh,20000000000.0,98.7
2004,1990 = 100,a) time series,hh,20000000000.0,98.6
2005,1990 = 100,a) time series,hh,20000000000.0,94.9
2006,1990 = 100,a) time series,hh,20000000000.0,93.5
2007,1990 = 100,a) time series,hh,20000000000.0,90.7
2008,1990 = 100,a) time series,hh,20000000000.0,91.5
2009,1990 = 100,a) time series,hh,20000000000.0,92.4
2010,1990 = 100,a) time series,hh,20000000000.0,95.5
2011,1990 = 100,a) time series,hh,20000000000.0,90.1
2012,1990 = 100,a) time series,hh,20000000000.0,89.3
2013,1990 = 100,a) time series,hh,20000000000.0,87.2
2014,1990 = 100,a) time series,hh,20000000000.0,95.2
2015,1990 = 100,a) time series,hh,20000000000.0,121.0
2016,1990 = 100,a) time series,hh,20000000000.0,123.7
2017,1990 = 100,a) time series,hh,20000000000.0,126.3
1990,1990 = 100,a) time series,he,60000000000.0,100.0
1995,1990 = 100,a) time series,he,60000000000.0,107.0
2000,1990 = 100,a) time series,he,60000000000.0,99.9
2003,1990 = 100,a) time series,he,60000000000.0,97.0
2004,1990 = 100,a) time series,he,60000000000.0,95.1
2005,1990 = 100,a) time series,he,60000000000.0,92.8
2006,1990 = 100,a) time series,he,60000000000.0,90.9
2007,1990 = 100,a) time series,he,60000000000.0,85.5
2008,1990 = 100,a) time series,he,60000000000.0,86.5
2009,1990 = 100,a) time series,he,60000000000.0,83.0
2010,1990 = 100,a) time series,he,60000000000.0,84.5
2011,1990 = 100,a) time series,he,60000000000.0,80.9
2012,1990 = 100,a) time series,he,60000000000.0,81.1
2013,1990 = 100,a) time series,he,60000000000.0,80.6
2014,1990 = 100,a) time series,he,60000000000.0,75.5
2015,1990 = 100,a) time series,he,60000000000.0,78.9
2016,1990 = 100,a) time series,he,60000000000.0,81.4
2017,1990 = 100,a) time series,he,60000000000.0,80.0
1990,1990 = 100,a) time series,mv,130000000000.0,100.0
1995,1990 = 100,a) time series,mv,130000000000.0,74.7
2000,1990 = 100,a) time series,mv,130000000000.0,74.7
2003,1990 = 100,a) time series,mv,130000000000.0,73.2
2004,1990 = 100,a) time series,mv,130000000000.0,75.2
2005,1990 = 100,a) time series,mv,130000000000.0,71.6
2006,1990 = 100,a) time series,mv,130000000000.0,74.5
2007,1990 = 100,a) time series,mv,130000000000.0,68.0
2008,1990 = 100,a) time series,mv,130000000000.0,72.6
2009,1990 = 100,a) time series,mv,130000000000.0,64.6
2010,1990 = 100,a) time series,mv,130000000000.0,69.5
2011,1990 = 100,a) time series,mv,130000000000.0,67.0
2012,1990 = 100,a) time series,mv,130000000000.0,69.2
2013,1990 = 100,a) time series,mv,130000000000.0,67.7
2014,1990 = 100,a) time series,mv,130000000000.0,68.3
1990,1990 = 100,a) time series,ni,30000000000.0,100.0
2000,1990 = 100,a) time series,ni,30000000000.0,94.2
2004,1990 = 100,a) time series,ni,30000000000.0,89.2
2006,1990 = 100,a) time series,ni,30000000000.0,89.4
2008,1990 = 100,a) time series,ni,30000000000.0,88.1
2009,1990 = 100,a) time series,ni,30000000000.0,85.9
2010,1990 = 100,a) time series,ni,30000000000.0,87.6
2011,1990 = 100,a) time series,ni,30000000000.0,86.7
2012,1990 = 100,a) time series,ni,30000000000.0,84.3
2013,1990 = 100,a) time series,ni,30000000000.0,85.3
2014,1990 = 100,a) time series,ni,30000000000.0,86.7
2015,1990 = 100,a) time series,ni,30000000000.0,86.5
2016,1990 = 100,a) time series,ni,30000000000.0,85.7
2017,1990 = 100,a) time series,ni,30000000000.0,84.3
1990,1990 = 100,a) time series,nw,50000000000.0,100.0
1995,1990 = 100,a) time series,nw,50000000000.0,102.4
2000,1990 = 100,a) time series,nw,50000000000.0,95.0
2003,1990 = 100,a) time series,nw,50000000000.0,94.5
2004,1990 = 100,a) time series,nw,50000000000.0,92.4
2005,1990 = 100,a) time series,nw,50000000000.0,89.2
2006,1990 = 100,a) time series,nw,50000000000.0,89.9
2007,1990 = 100,a) time series,nw,50000000000.0,90.6
2008,1990 = 100,a) time series,nw,50000000000.0,89.7
2009,1990 = 100,a) time series,nw,50000000000.0,81.4
2010,1990 = 100,a) time series,nw,50000000000.0,84.9
2011,1990 = 100,a) time series,nw,50000000000.0,82.8
2012,1990 = 100,a) time series,nw,50000000000.0,84.0
2013,1990 = 100,a) time series,nw,50000000000.0,82.6
2014,1990 = 100,a) time series,nw,50000000000.0,80.0
2016,1990 = 100,a) time series,nw,50000000000.0,79.2
2017,1990 = 100,a) time series,nw,50000000000.0,74.6
1990,1990 = 100,a) time series,rp,70000000000.0,100.0
1995,1990 = 100,a) time series,rp,70000000000.0,110.1
2000,1990 = 100,a) time series,rp,70000000000.0,74.3
2003,1990 = 100,a) time series,rp,70000000000.0,70.0
2004,1990 = 100,a) time series,rp,70000000000.0,70.2
2005,1990 = 100,a) time series,rp,70000000000.0,68.6
2006,1990 = 100,a) time series,rp,70000000000.0,69.5
2007,1990 = 100,a) time series,rp,70000000000.0,69.8
2008,1990 = 100,a) time series,rp,70000000000.0,72.3
2009,1990 = 100,a) time series,rp,70000000000.0,70.5
2010,1990 = 100,a) time series,rp,70000000000.0,66.9
2011,1990 = 100,a) time series,rp,70000000000.0,62.5
2012,1990 = 100,a) time series,rp,70000000000.0,62.5
2013,1990 = 100,a) time series,rp,70000000000.0,65.1
2014,1990 = 100,a) time series,rp,70000000000.0,61.3
2015,1990 = 100,a) time series,rp,70000000000.0,62.1
2016,1990 = 100,a) time series,rp,70000000000.0,62.8
1990,1990 = 100,a) time series,sl,100000000000.0,100.0
1995,1990 = 100,a) time series,sl,100000000000.0,96.3
2000,1990 = 100,a) time series,sl,100000000000.0,98.7
2003,1990 = 100,a) time series,sl,100000000000.0,95.5
2004,1990 = 100,a) time series,sl,100000000000.0,96.5
2005,1990 = 100,a) time series,sl,100000000000.0,96.9
2006,1990 = 100,a) time series,sl,100000000000.0,91.0
2007,1990 = 100,a) time series,sl,100000000000.0,97.8
2008,1990 = 100,a) time series,sl,100000000000.0,85.8
2009,1990 = 100,a) time series,sl,100000000000.0,69.3
2010,1990 = 100,a) time series,sl,100000000000.0,72.5
2011,1990 = 100,a) time series,sl,100000000000.0,78.5
2012,1990 = 100,a) time series,sl,100000000000.0,80.7
2013,1990 = 100,a) time series,sl,100000000000.0,84.7
2014,1990 = 100,a) time series,sl,100000000000.0,77.7
2015,1990 = 100,a) time series,sl,100000000000.0,79.4
1990,1990 = 100,a) time series,sn,140000000000.0,100.0
1995,1990 = 100,a) time series,sn,140000000000.0,67.3
2000,1990 = 100,a) time series,sn,140000000000.0,46.9
2003,1990 = 100,a) time series,sn,140000000000.0,54.6
2004,1990 = 100,a) time series,sn,140000000000.0,53.4
2005,1990 = 100,a) time series,sn,140000000000.0,52.2
2006,1990 = 100,a) time series,sn,140000000000.0,53.1
2007,1990 = 100,a) time series,sn,140000000000.0,51.3
2008,1990 = 100,a) time series,sn,140000000000.0,50.5
2009,1990 = 100,a) time series,sn,140000000000.0,51.0
2010,1990 = 100,a) time series,sn,140000000000.0,51.2
2011,1990 = 100,a) time series,sn,140000000000.0,49.0
2012,1990 = 100,a) time series,sn,140000000000.0,50.9
2013,1990 = 100,a) time series,sn,140000000000.0,53.5
2014,1990 = 100,a) time series,sn,140000000000.0,53.2
2015,1990 = 100,a) time series,sn,140000000000.0,51.5
2016,1990 = 100,a) time series,sn,140000000000.0,51.7
1990,1990 = 100,a) time series,st,150000000000.0,100.0
1995,1990 = 100,a) time series,st,150000000000.0,56.2
2000,1990 = 100,a) time series,st,150000000000.0,58.6
2003,1990 = 100,a) time series,st,150000000000.0,63.7
2004,1990 = 100,a) time series,st,150000000000.0,63.0
2005,1990 = 100,a) time series,st,150000000000.0,63.0
2006,1990 = 100,a) time series,st,150000000000.0,62.8
2007,1990 = 100,a) time series,st,150000000000.0,61.3
2008,1990 = 100,a) time series,st,150000000000.0,63.1
2009,1990 = 100,a) time series,st,150000000000.0,65.3
2010,1990 = 100,a) time series,st,150000000000.0,63.8
2011,1990 = 100,a) time series,st,150000000000.0,63.7
2012,1990 = 100,a) time series,st,150000000000.0,64.1
